SKU,item_name,jan_net_sales,feb_net_sales,mar_net_sales,apr_net_sales,may_net_sales,jun_net_sales,jul_net_sales,aug_net_sales,sep_net_sales,oct_net_sales,nov_net_sales,dec_net_sales,total_net_sales,category
50101,"EGGS, US XL 1DZN/30",42057.9,43776.18,36563.4,36193.77,26543.43,31798.17,26553.42,38191.77,26843.13,38111.85,40939.02,45464.49,433036.53,GC
40101,"EGGS, US MED 1DZN/30",25433.21,32214.31,43505.25,18717.47,22606.39,25898.9,19804.08,27524.73,33733.93,33374.45,37377.75,40065.68,360256.15,GC
200500+,"BEEF, CHUCK ROLL COMMON",20167.4,40299.2,25988,23371.4,21511.3,14204.4,26619.9,36303.1,20817.1,20309.8,42186,32858.8,324636.4,GM
200219,"CHICKEN, LEG QUARTER 19.8#",14344.05,19830.3,21406.35,20149.5,20049.75,18733.05,20728.05,19930.05,21466.2,21885.15,24019.8,24259.2,246801.45,GM
JHK09901,"MILK, GOSSNER WHOLE WHITE 1QT/12",16032.44,15603.04,15137.48,15734.12,17087.86,16457.32,22041.78,17020.06,15008.66,13505.76,18240.46,15881.02,197750,GB
200110,"FISH, SALMON H/G WHOLE",1415.04,8693.92,17087.68,15018.72,11652.64,15694.08,14729.28,13378.56,22447.68,21440,25931.68,26542.72,194032,GM
DNT50J,"RICE, KING JASMINE 50lbs.",11735.5,14798,13548.5,15312.5,15876,14038.5,15067.5,16856,19845,19036.5,18571,18693.5,193378.5,GR
200129,"FISH, LOCAL FRESH",16647.3,16965.3,19553.82,14656.62,10379.52,11613.36,10319.1,11772.36,10118.76,11925,18173.7,19563.36,171688.2,GM
JHK02101,"BUTANE GAS, MAXSUN CRV 8OZ/28",11561.68,12303.2,12857.52,14727.44,24371.36,17404.4,14187.68,11995.36,15348.32,8927.36,17811.04,9154.08,170649.44,GN
101C,"SODA, COKE CLASSIC 12oz/24",14524.64,14155.44,13303.68,11463.92,14089.92,13729.04,12722.32,15931.76,14801.28,2713.36,9289.28,12728.56,149453.2,GB
DNT20J,"RICE, KING JASMINE 20lbs.",10278.35,9611.7,12377.8,13920.05,11561.9,12059.4,13392.7,13541.95,11362.9,12566.85,12298.2,14726,147697.8,GR
THA-003,"TUNA, COCO LIGHT MEAT 7OZ/48",14360.8,13424.1,12590.35,14137.5,12187.25,9475.75,14049.05,12986.2,12251.05,10931.55,10690.85,8063.45,145147.9,GG
101E,"SODA, PEPSI REGULAR 12oz/24",11531.1,9825.9,8654.1,8863.05,10705.8,9619.05,10097.85,11768.4,11335.8,16342.2,17100.3,16003.05,141846.6,GB
EL001172,"POKKA, MILK COFFEE 240ML/30",11523.82,360.36,11321.31,16517.27,12039.72,11165.77,13207.81,12544.07,12710.39,12992.21,13303.29,9513.35,137199.37,GB
200223,"CHICKEN, LEG QUARTER 33# SIMMONS",1881.04,12159.58,14477.29,16694.23,13771.9,8128.78,8968.53,16223.97,8632.63,7792.88,11084.7,11722.91,131538.44,GM
200120,"FISH, SALMON FILLET",1242.8,5174.35,12428,11782.7,8663.75,12559.45,9380.75,8054.3,11005.95,14053.2,13611.05,15977.15,123933.45,GM
200502,"BEEF, CHUCK ROAST",9309.4,12210.8,8463.9,9531.9,8864.4,7369.2,10341.8,13510.2,8303.7,5322.2,15005.4,13243.2,121476.1,GM
